CustomerID,CustomerName,ContactName,Address,City,PostalCode,Country,BirthDate
30 ,Godos Cocina Típica ,José Pedro Freyre ,"C/ Romero, 33 ",Sevilla ,41101 ,Spain ,6/5/1955
31 ,Gourmet Lanchonetes ,André Fonseca ,"Av. Brasil, 442 ",Campinas ,04876-786 ,Brazil ,6/6/1962
32 ,Great Lakes Food Market ,Howard Snyder ,2732 Baker Blvd. ,Eugene ,97403 ,USA ,6/7/1971
33 ,GROSELLA-Restaurante ,Manuel Pereira ,5ª Ave. Los Palos Grandes ,Caracas ,1081 ,Venezuela ,6/8/1977
34 ,Hanari Carnes ,Mario Pontes ,"Rua do Paço, 67 ",Rio de Janeiro ,05454-876 ,Brazil ,6/9/1972
35 ,HILARIÓN-Abastos ,Carlos Hernández ,Carrera 22 con Ave. Carlos Soublette #8-35 ,San Cristóbal ,5022 ,Venezuela ,6/10/1963
36 ,Hungry Coyote Import Store ,Yoshi Latimer ,City Center Plaza 516 Main St. ,Elgin ,97827 ,USA ,6/11/1959
37 ,Hungry Owl All-Night Grocers ,Patricia McKenna ,8 Johnstown Road ,Cork ,,Ireland ,6/12/1938
38 ,Island Trading ,Helen Bennett ,Garden House Crowther Way ,Cowes ,PO31 7PJ ,UK ,6/13/1957
39 ,Königlich Essen ,Philip Cramer ,Maubelstr. 90 ,Brandenburg ,14776 ,Germany ,6/14/1976
40 ,"La corne d'abondance ",Daniel Tonini ,"67, avenue de l'Europe ",Versailles ,78000 ,France ,6/15/1958
41 ,"La maison d'Asie ",Annette Roulet ,1 rue Alsace-Lorraine ,Toulouse ,31000 ,France ,6/16/1972
42 ,Laughing Bacchus Wine Cellars ,Yoshi Tannamuri ,1900 Oak St. ,Vancouver ,V3F 2K1 ,Canada ,6/17/1961
43 ,Lazy K Kountry Store ,John Steel ,12 Orchestra Terrace ,Walla Walla ,99362 ,USA ,6/18/1966
44 ,Lehmanns Marktstand ,Renate Messner ,Magazinweg 7 ,Frankfurt a.M.  ,60528 ,Germany ,6/19/1963
45 ,"Let's Stop N Shop ",Jaime Yorres ,87 Polk St. Suite 5 ,San Francisco ,94117 ,USA ,6/20/1972
46 ,LILA-Supermercado ,Carlos González ,Carrera 52 con Ave. Bolívar #65-98 Llano Largo ,Barquisimeto ,3508 ,Venezuela ,6/21/1968
47 ,LINO-Delicateses ,Felipe Izquierdo ,Ave. 5 de Mayo Porlamar ,I. de Margarita ,4980 ,Venezuela ,6/22/1958
48 ,Lonesome Pine Restaurant ,Fran Wilson ,89 Chiaroscuro Rd. ,Portland ,97219 ,USA ,6/23/1959
49 ,Magazzini Alimentari Riuniti ,Giovanni Rovelli ,Via Ludovico il Moro 22 ,Bergamo ,24100 ,Italy ,6/24/1948
50 ,Maison Dewey ,Catherine Dewey ,Rue Joseph-Bens 532 ,Bruxelles ,B-1180 ,Belgium ,6/25/1947
51 ,Mère Paillarde ,Jean Fresnière ,43 rue St. Laurent ,Montréal ,H1J 1C3 ,Canada ,6/26/1952
52 ,Morgenstern Gesundkost ,Alexander Feuer ,Heerstr. 22 ,Leipzig ,04179 ,Germany ,6/27/1957
53 ,North/South ,Simon Crowther ,South House 300 Queensbridge ,London ,SW7 1RZ ,UK ,6/28/1955
54 ,Océano Atlántico Ltda. ,Yvonne Moncada ,Ing. Gustavo Moncada 8585 Piso 20-A ,Buenos Aires ,1010 ,Argentina ,6/29/1967
55 ,Old World Delicatessen ,Rene Phillips ,2743 Bering St. ,Anchorage ,99508 ,USA ,6/30/1949
56 ,Ottilies Käseladen ,Henriette Pfalzheim ,Mehrheimerstr. 369 ,Köln ,50739 ,Germany ,7/1/1951
57 ,Paris spécialités ,Marie Bertrand ,"265, boulevard Charonne ",Paris ,75012 ,France ,7/2/1962
58 ,Pericles Comidas clásicas ,Guillermo Fernández ,Calle Dr. Jorge Cash 321 ,México D.F. ,05033 ,Mexico ,7/3/1971
59 ,Piccolo und mehr ,Georg Pipps ,Geislweg 14 ,Salzburg ,5020 ,Austria ,7/4/1953
60 ,Princesa Isabel Vinhoss ,Isabel de Castro ,Estrada da saúde n. 58 ,Lisboa ,1756 ,Portugal ,7/5/1963
61 ,Que Delícia ,Bernardo Batista ,"Rua da Panificadora, 12 ",Rio de Janeiro ,02389-673 ,Brazil ,7/6/1964
62 ,Queen Cozinha ,Lúcia Carvalho ,"Alameda dos Canàrios, 891 ",São Paulo ,05487-020 ,Brazil ,7/7/1975
63 ,QUICK-Stop ,Horst Kloss ,Taucherstraße 10 ,Cunewalde ,01307 ,Germany ,7/8/1946
64 ,Rancho grande ,Sergio Gutiérrez ,Av. del Libertador 900 ,Buenos Aires ,1010 ,Argentina ,7/9/1956
65 ,Rattlesnake Canyon Grocery ,Paula Wilson ,2817 Milton Dr. ,Albuquerque ,87110 ,USA ,7/10/1976
66 ,Reggiani Caseifici ,Maurizio Moroni ,Strada Provinciale 124 ,Reggio Emilia ,42100 ,Italy ,7/11/1946
67 ,Ricardo Adocicados ,Janete Limeira ,"Av. Copacabana, 267 ",Rio de Janeiro ,02389-890 ,Brazil ,7/12/1944
68 ,Richter Supermarkt ,Michael Holz ,Grenzacherweg 237 ,Genève ,1203 ,Switzerland ,7/13/1932
69 ,Romero y tomillo ,Alejandra Camino ,"Gran Vía, 1 ",Madrid ,28001 ,Spain ,7/14/1964
70 ,Santé Gourmet ,Jonas Bergulfsen ,Erling Skakkes gate 78 ,Stavern ,4110 ,Norway ,7/15/1971
71 ,Save-a-lot Markets ,Jose Pavarotti ,187 Suffolk Ln. ,Boise ,83720 ,USA ,7/16/1955
72 ,Seven Seas Imports ,Hari Kumar ,90 Wadhurst Rd. ,London ,OX15 4NB ,UK ,7/17/1957
73 ,Simons bistro ,Jytte Petersen ,Vinbæltet 34 ,København ,1734 ,Denmark ,7/18/1959
74 ,Spécialités du monde ,Dominique Perrier ,"25, rue Lauriston ",Paris ,75016 ,France ,7/19/1963
75 ,Split Rail Beer & Ale ,Art Braunschweiger ,P.O. Box 555 ,Lander ,82520 ,USA ,7/20/1961
76 ,Suprêmes délices ,Pascale Cartrain ,"Boulevard Tirou, 255 ",Charleroi ,B-6000 ,Belgium ,7/21/1971
77 ,The Big Cheese ,Liz Nixon ,89 Jefferson Way Suite 2 ,Portland ,97201 ,USA ,7/22/1972
78 ,The Cracker Box ,Liu Wong ,55 Grizzly Peak Rd. ,Butte ,59801 ,USA ,7/23/1962
79 ,Toms Spezialitäten ,Karin Josephs ,Luisenstr. 48 ,Münster ,44087 ,Germany ,7/24/1968
80 ,Tortuga Restaurante ,Miguel Angel Paolino ,Avda. Azteca 123 ,México D.F. ,05033 ,Mexico ,7/25/1969
81 ,Tradição Hipermercados ,Anabela Domingues ,"Av. Inês de Castro, 414 ",São Paulo ,05634-030 ,Brazil ,7/26/1959
82 ,"Trail's Head Gourmet Provisioners ",Helvetius Nagy ,722 DaVinci Blvd. ,Kirkland ,98034 ,USA ,7/27/1949
83 ,Vaffeljernet ,Palle Ibsen ,Smagsløget 45 ,Århus ,8200 ,Denmark ,7/28/1958
84 ,Victuailles en stock ,Mary Saveley ,"2, rue du Commerce ",Lyon ,69004 ,France ,7/29/1946
85 ,Vins et alcools Chevalier ,Paul Henriot ,"59 rue de l'Abbaye ",Reims ,51100 ,France ,7/30/1949
86 ,Die Wandernde Kuh ,Rita Müller ,Adenauerallee 900 ,Stuttgart ,70563 ,Germany ,7/31/1952
87 ,Wartian Herkku ,Pirkko Koskitalo ,Torikatu 38 ,Oulu ,90110 ,Finland ,8/1/1966
88 ,Wellington Importadora ,Paula Parente ,"Rua do Mercado, 12 ",Resende ,08737-363 ,Brazil ,8/2/1955
89 ,White Clover Markets ,Karl Jablonski ,305 - 14th Ave. S. Suite 3B ,Seattle ,98128 ,USA ,8/3/1944
90 ,Wilman Kala ,Matti Karttunen ,Keskuskatu 45 ,Helsinki ,21240 ,Finland ,8/4/1974
91 ,Wolski ,Zbyszek ,ul. Filtrowa 68 ,Walla ,01-012 ,Poland ,8/5/1972
